Days,Input 1,Input 2,Input 3,Input 4,Output
1,182,139,58,94,209
2,209,182,139,58,219
3,219,209,182,139,341
4,341,219,209,182,266
5,266,341,219,209,306
6,306,266,341,219,312
7,312,306,266,341,492
8,492,312,306,266,434
9,434,492,312,306,390
10,390,434,492,312,414
11,414,390,434,492,503
12,503,414,390,434,309
13,309,503,414,390,418
14,418,309,503,414,497
15,497,418,309,503,549
16,549,497,418,309,641
17,641,549,497,418,564
18,564,641,549,497,571
19,571,564,641,549,552
20,552,571,564,641,665
21,665,552,571,564,688
22,688,665,552,571,786
23,786,688,665,552,790
24,790,786,688,665,706
25,706,790,786,688,709
26,709,706,790,786,636
27,636,709,706,790,887
28,887,636,709,706,1034
29,1034,887,636,709,969
30,969,1034,887,636,1222
31,1222,969,1034,887,981
32,981,1222,969,1034,1202
33,1202,981,1222,969,930
34,930,1202,981,1222,1273
35,1273,930,1202,981,1602
36,1602,1273,930,1202,1251
37,1251,1602,1273,930,1617
38,1617,1251,1602,1273,1773
39,1773,1617,1251,1602,1694
40,1694,1773,1617,1251,1873
41,1873,1694,1773,1617,1532
42,1532,1873,1694,1773,1975
43,1975,1532,1873,1694,1166
44,1166,1975,1532,1873,1541
45,1541,1166,1975,1532,2029
46,2029,1541,1166,1975,2523
47,2523,2029,1541,1166,1764
48,1764,2523,2029,1541,2545
49,2545,1764,2523,2029,2381
50,2381,2545,1764,2523,2911
51,2911,2381,2545,1764,2695
52,2695,2911,2381,2545,2423
53,2423,2695,2911,2381,2828
54,2828,2423,2695,2911,2635
55,2635,2828,2423,2695,2743
56,2743,2635,2828,2423,2735
57,2735,2743,2635,2828,3171
58,3171,2735,2743,2635,3190
59,3190,3171,2735,2743,3187
60,3187,3190,3171,2735,3471
61,3471,3187,3190,3171,2856
62,2856,3471,3187,3190,3141
63,3141,2856,3471,3187,3099
64,3099,3141,2856,3471,3862
65,3862,3099,3141,2856,4008
66,4008,3862,3099,3141,3803
67,3803,4008,3862,3099,3243
68,3243,3803,4008,3862,3240
69,3240,3243,3803,4008,3531
70,3531,3240,3243,3803,3480
71,3480,3531,3240,3243,3412
72,3412,3480,3531,3240,3462
73,3462,3412,3480,3531,3946
74,3946,3462,3412,3480,3868
75,3868,3946,3462,3412,3504
76,3504,3868,3946,3462,3809
77,3809,3504,3868,3946,4014
78,4014,3809,3504,3868,3682
